	Country	Achievement	Benevolence	Conformity	Hedonism	Power	Security	Self-direction	Stimulation	Tradition	Universalism
11	Group_12	1.2320085929108486	1.1917293233082709	1.408163265306123	1.3952738990332985	1.4301825993555315	1.1482277121374866	1.2781954887218048	1.5972073039742218	1.404940923737917	1.3458646616541352
12	Group_13	2.8614814814814817	1.3096296296296297	1.597037037037038	3.362222222222222	3.021481481481481	1.2925925925925923	1.9859259259259257	3.780740740740741	1.4725925925925936	1.4493827160493828
13	Group_14	4.016047297297297	3.9560810810810825	4.014358108108109	4.3141891891891895	4.114864864864864	4.037162162162162	3.9493243243243255	4.238175675675675	4.138513513513515	3.969876126126127
14	Group_15	2.263097949886105	1.423690205011389	4.4498861047836	1.7847380410022775	4.143507972665148	1.8747152619589975	1.4897494305239174	1.891799544419135	2.357630979498861	1.5876993166287017
15	Group_16	2.742171189979123	1.790187891440501	4.748434237995824	2.0125260960334024	4.191022964509394	3.2066805845511475	1.727557411273486	2.002087682672234	4.151356993736954	1.870563674321503
16	Group_17	2.0782258064516133	2.516935483870968	3.4379032258064512	1.964516129032258	2.482258064516129	2.424193548387097	2.115322580645161	2.0282258064516125	3.524193548387097	3.024731182795699
17	Group_18	3.4185267857142856	2.196428571428572	3.7220982142857135	2.4988839285714284	3.8091517857142856	2.172991071428572	3.351562499999999	4.753348214285714	2.6796875	2.5375744047619047
18	Group_19	2.177900552486188	2.0370165745856355	2.119889502762431	2.68232044198895	3.4198895027624308	1.856906077348066	2.1596685082872926	3.3226519337016573	2.0795580110497243	2.027624309392265
19	Group_20	1.840823970037453	1.6023720349563046	2.00374531835206	2.1273408239700378	1.8439450686641687	1.486267166042447	1.7996254681647934	3.6966292134831455	1.912609238451936	1.8185601331668744
20	Group_21	3.7783783783783775	2.9063063063063064	2.9585585585585585	4.117117117117117	4.447747747747748	2.7981981981981976	3.7855855855855856	4.744144144144144	2.9477477477477474	2.873873873873874
21	Group_22	2.3788748564867968	2.1969001148105627	2.1205510907003444	2.10390355912744	2.2123995407577493	2.4345579793340986	2.1148105625717566	2.202640642939151	2.315154994259472	2.3331419823957136
22	Group_23	4.863408521303258	2.017543859649123	4.283208020050125	2.4423558897243107	4.959899749373433	3.1842105263157894	2.764411027568922	4.151629072681704	2.6340852130325816	2.1917293233082704
23	Group_24	2.0331088664422	1.8417508417508417	2.0331088664422	3.216049382716049	2.3221099887766554	1.69023569023569	1.9943883277216607	2.576879910213244	2.0549943883277217	1.8868312757201644
24	Group_25	4.796675191815858	2.90153452685422	4.552429667519182	4.006393861892583	5.0204603580562654	4.305626598465473	3.1777493606138103	4.656010230179028	3.797953964194375	2.7625745950554137
25	Group_26	1.4579606440071555	1.2406082289803222	3.100178890876565	1.6046511627906972	2.318425760286225	1.330053667262969	1.3890876565295165	1.8076923076923084	1.5778175313059042	1.4695885509838993
26	Group_27	4.547169811320755	2.0461215932914047	3.951781970649896	4.170859538784066	4.877358490566037	2.0943396226415096	3.767295597484277	4.706498951781971	2.611111111111111	2.163172606568833
27	Group_28	3.4457627118644067	1.75	2.967796610169492	1.9728813559322036	3.244915254237288	1.8983050847457628	1.9237288135593216	2.597457627118644	3.5601694915254245	1.9652542372881356
28	Group_29	2.0158286778398518	1.839851024208566	3.562383612662942	3.7029795158286776	3.077281191806331	1.9124767225325887	1.661080074487895	2.4767225325884548	2.9711359404096838	1.9292364990689013
29	Group_30	1.9137055837563457	1.5862944162436547	3.651015228426396	1.7474619289340096	2.748730964467005	3.677664974619289	1.5152284263959386	1.6586294416243657	3.543147208121828	2.0076142131979693
30	Group_31	2.827258320126783	1.972266244057052	3.782091917591125	2.05863708399366	4.123613312202853	2.548335974643423	2.640253565768621	2.429477020602219	2.576862123613312	2.447173798203909
31	Group_32	1.389721627408994	1.5438972162740898	3.498929336188437	1.5781584582441104	1.9068522483940036	1.431477516059957	1.3179871520342603	1.533190578158459	3.0920770877944324	1.8986438258386864
32	Group_33	4.442588726513571	2.410229645093945	2.7839248434237995	3.5219206680584554	4.539665970772442	3.8455114822546967	2.721294363256785	3.9102296450939455	3.525052192066806	2.3632567849686845
